image_name,question,answer
000000009127.jpg,hình 1 mô tả điều gì ?,hình 1 mô tả con đường dioxin xâm nhập vào cơ thể người
000000008140.jpg,những quả châu trên cây thông noel có màu gì ?,những quả châu trên cây thông noel có màu đỏ
000000005324.jpg,có bao nhiêu chiếc xích lô trên đường ?,có một chiếc xích lô trên đường
000000006109.jpg,trong những tủ kính được trưng bày thứ gì ?,các cổ vật lịch sử được trưng bày trong các tủ kính
000000007002.jpg,có bao nhiêu người mang trang phục quân đội ?,có hai người mang trang phục quân đội
000000006027.jpg,các cửa hàng trên đoạn đường này bán các vật phẩm nhân dịp gì ?,lễ giáng sinh
000000008405.jpg,dãy kệ hàng bên trái bày bán các loại mặt hàng gì ?,sốt và nước chấm các loại
000000008445.jpg,có cái gì được để gần chiếc xe tay ga bên trái cùng ?,gánh hàng rong được để gần chiếc xe tay ga bên trái cùng
000000005612.jpg,quang cảnh đang là buổi nào trong ngày ?,đang là buổi sáng
000000006803.jpg,những người này đang đứng quây quần ở đâu ?,ở gần những cái hang đá được trang trí cho ngày giáng sinh
000000010478.jpg,cửa hàng phù sa chuyên kinh doanh mặt hàng nào ?,gạo sạch
000000010756.jpg,đây là gì ?,đây là một cửa hàng sách
000000007666.jpg,chiếc xe trong bức tranh có màu gì ?,chiếc xe có màu trắng
000000009336.jpg,những người khách đến khu chợ này chủ yếu để làm gì ?,mua sắm hàng nông sản
000000002708.jpg,địa chỉ văn phòng ở đâu ?,"ở số 46 yên thế , phường 2 , quận tân bình"
000000006526.jpg,người đàn ông mặc áo trắng đang đứng ở đâu ?,ở một quầy bán hàng trong siêu thị
000000004631.jpg,có bao nhiêu người ?,có một người
000000000974.jpg,quán cơm hoàng kim nằm sát bên hiệu sách nào ?,hiệu sách nam phong
000000004439.jpg,chiếc xe hơi màu đen đậu ở vị trí nào ?,chiếc xe đậu bên lề đường phải và phía trước chiếc xe màu trắng
000000005815.jpg,người phụ nữ đang ở sạp gì ?,người phụ nữ đang ở sạp trái cây
000000004909.jpg,có bao nhiêu người đang đi ?,có một người
000000006039.jpg,có thể lấy cái gì từ trong cái chén bên phải tô phở ?,những lát chanh
000000004132.jpg,cô gái này mặc chiếc váy trông ra sao ?,cô gái này mặc chiếc váy caro trắng và đen
000000001953.jpg,biển quảng cáo phía bên phải chứa dòng chữ gì ?,"tươi ngon , tiện lợi mỗi ngày"
000000010883.jpg,buổi họp báo đang bàn về vấn đề gì ?,"tình hình thực hiện đề án phát triển thị trường trong nước gắn với cuộc vận động "" người việt nam ưu tiên dùng hàng viêt nam "" giai đoạn 201 4-2 020"
000000006607.jpg,bé gái đang đi đang mang áo màu gì ?,bé gái đang mang áo màu đỏ
000000004015.jpg,những người này đang xếp hàng để làm gì ?,để đợi mua thịt
000000006559.jpg,người dân đi trên đường bằng phương tiện gì ?,họ đi bộ
000000001854.jpg,quầy hàng này bán những mặt hàng gì ?,"bán chuối dẻo , rượu , dấm"
000000011176.jpg,có bao nhiêu bóng đèn được gắn trên biển tên của xưởng ?,có bốn bóng đèn được gắn trên biển tên
000000010941.jpg,chợ long biên nằm trên địa bàn của địa phương nào ?,quận ba đình
000000006494.jpg,người phụ nữ đang ngồi ở đâu ?,người phụ nữ đang ngồi ở quầy trái cây
000000004080.jpg,công ty viettel này nằm ở đâu ?,công ty viettel này nằm ở đồng nai
000000006364.jpg,có một cán bộ công an đang đi bộ ở đâu ?,có một cán bộ công an đang đi bộ trên vỉa hè
000000000652.jpg,có bao nhiêu người đang đứng trước nhà hàng trung bắc ?,có hai người đang đứng trước nhà hàng trung bắc
000000004224.jpg,tại khu vực này có mấy bức tượng ?,tại khu vực này có ba bức tượng
000000004718.jpg,có bao nhiêu người phụ nữ đang gánh đòn gánh ?,một người
000000008979.jpg,phải đến quận mấy để ghé quán cháo tám hói ?,quận 5
000000004481.jpg,có bao nhiêu người đi đường ghé xem đồ da ?,không có ai ghé xem
000000009232.jpg,bạn nam mặc áo số 60 đang đi đâu ?,đang đi về phía quầy bán salad
000000001340.jpg,con tàu lớn có màu gì ?,trắng
000000001771.jpg,cửa hàng có tên là gì ?,cửa hàng có tên là sun studio
000000003088.jpg,căn nhà phía sau nhóm người có số nhà là bao nhiêu ?,căn nhà có số nhà là 18
000000001519.jpg,xe tải đang đi đến tỉnh / thành phố nào ?,xe tải đang đi đến vĩnh long
000000009846.jpg,có bao nhiêu người đang đứng lựa táo ?,có một bạn nữ mặc đồ đen đang đứng lựa táo
000000005717.jpg,người phụ nữ đang chạy xe đạp mang áo màu gì ?,mang áo màu vàng
000000010977.jpg,có mấy người đang mua hàng ?,có một người đang mua hàng
000000009922.jpg,những người đi chợ đang ở khu quầy hàng gì ?,khu quầy hàng bán hoa tươi
000000007035.jpg,những con đường được chiếu sáng bằng ánh sáng màu gì ?,màu vàng
000000009145.jpg,bức ảnh được chụp bởi nhà báo nào ?,bức ảnh được chụp bởi nhà báo kenh14
000000010537.jpg,siêu thị tên gì ?,siêu thị tương lai
000000001112.jpg,quán này bán các món ăn nào ?,"quán này bán cơm , phở , hủ tiếu , mì"
000000008608.jpg,các bạn học sinh đang ngồi ở đâu ?,đang ngồi trong một căn nhà cổ
000000002403.jpg,nhà thuốc này mở cửa khi nào ?,nhà thuốc này mở cửa từ 7 h -22
000000001801.jpg,quán cà phê này tên gì ?,quán cà phê ki-ốt 174
000000000962.jpg,số điện thoại của đại lý bia - nước ngọt minh hương là gì ?,số điện thoại của đại lý bia - nước ngọt minh hương là 0 703 8 788 - 0 908 366 770
000000006096.jpg,người đàn ông đang làm gì ?,ông ấy đang cười
000000000955.jpg,tại sao bệnh nhân phải tới phòng này ?,bệnh nhân tới phòng này để được sàng lọc
000000008994.jpg,cái giỏ kéo của siêu thị này có màu gì ?,cái giỏ kéo của siêu thị này có màu đỏ
000000008192.jpg,xung quanh ngồi tháp này là gì ?,xung quanh ngôi tháp này là nước
000000003118.jpg,có bao nhiêu số điện thoại để liên hệ công ty quảng cáo ?,có hai số điện thoại để liên hệ công ty quảng cáo
000000002254.jpg,nút duy trì ở thứ mấy từ trên xuống ?,nút duy trì ở vị trí thứ hai từ trên xuống
000000005369.jpg,cô phục vụ trên bãi biển cầm cái khay màu gì ?,khau màu đỏ
000000009108.jpg,có bao nhiêu người lớn ?,có ba người
000000011024.jpg,cô gái cầm túi mang trang phục gì ?,cô gái cầm túi mang đầm màu kem
000000010225.jpg,người phụ nữ đang cầm thứ gì ?,đang cầm một tờ giấy
000000009390.jpg,quán ăn có tên là gì ?,quán ăn có tên là xiên nướng 68
000000001993.jpg,quẹo phải sẽ đi đâu ?,quẹo phải sẽ đi t . p hà nội
000000003037.jpg,quán xuân hường bán những món ăn gì ?,bánh cuốn nóng
000000005175.jpg,mái che của con thuyền có màu gì ?,mái che có màu xanh dương
000000004178.jpg,người đàn ông mặc quần jean xanh đang làm gì ?,ông ấy đang mua sắm trong siêu thị
000000007000.jpg,hai nhân viên này đang làm gì ?,đang sắp xếp lại rau củ
000000010869.jpg,nhà xe nào ở tỉnh tây ninh ?,nhà xe minh hiếu
000000007812.jpg,đây là buổi nào trong ngày ?,buổi trưa
000000009297.jpg,có mấy chú cầm bằng khen ?,có năm chú cầm bằng khen
000000000843.jpg,nội dung của tấm quảng cáo chỗ trạm xe buýt đề cập đến ai ?,đến đảng cộng sản việt nam
000000009587.jpg,những món ăn được bán ở đây đồng giá bao nhiêu ?,40 000 đồng
000000003138.jpg,cửa tiệm cung cấp các dịch vụ gì ?,"cửa tiệm cung cấp vật tư , thiết bị điện , sửa chữa , lắp đặt điện gia dụng"
000000009117.jpg,dưa hấu có giá bao nhiêu ?,9 900 đồng
000000002783.jpg,người ta khắc nên bức tượng này để tưởng nhớ ai ?,tưởng nhớ lý thái tổ
000000009770.jpg,có bao nhiêu chiếc xe máy đựng trước quán ăn ?,có hai chiếc xe máy dựng trước quán ăn
000000001024.jpg,ghé quán jollibee có thể gọi được món gì ?,có thể gọi món gà rán ở quán jollibee
000000003951.jpg,người đàn ông đang ngồi ở đâu ?,ở quầy bán đồ trang trí tết
000000006103.jpg,người phụ nữ mặc áo trắng đang làm gì ?,đang xem con cá
000000009155.jpg,cửa hàng nhà xuất bản phụ nữ được đặt ở đâu ?,ở bên cạnh cửa hàng đông á
000000004074.jpg,những hiện vật được đặt trên một bề mặt có màu gì ?,những hiện vật được đặt trên một bề mặt có màu đỏ
000000010454.jpg,doanh nghiệp tư vấn kinh doanh vàng bạc có tên là gì ?,tên là hiếu học
000000002898.jpg,bàn tay đang cầm sản phẩm tên gì ?,sản phẩm tên bio-b
000000006417.jpg,người phụ nữ đang làm gì ?,đang đạp chiếc xe đạp
000000010556.jpg,khu phố kế bên cửa hàng thịnh long khánh là khu phố như thế nào ?,khu phố văn hóa
000000005239.jpg,quang cảnh trong bức tranh này được vẽ ở đâu ?,trên một con đường đông người qua lại trong một thành phố
000000005225.jpg,người phụ nữ đang lau sàn ở đâu ?,ở gần quầy bán thịt tươi trong siêu thị
000000006996.jpg,người đàn ông đang làm gì ?,đang mua vé số
000000001425.jpg,cửa hàng cổng hoa có tên là gì ?,cửa hàng cổng hoa có tên là như quỳnh
000000005828.jpg,những cán bộ này đang làm gì ?,họ đang thắp hương tưởng niệm
000000009972.jpg,cửa hàng thầy thùng bán những gì ?,bán các loại thuốc
000000006117.jpg,người đàn ông đứng dựa cột mang áo màu gì ?,người đàn ông mang áo màu cam
000000007086.jpg,trụ đèn tín hiệu giao thông được đặt ở đâu ?,trụ đèn được đặt phía trước tiệm cắt tóc
000000000624.jpg,bảng thông báo để ở trước quán hẻm có nội dung gì ?,bảng thông báo tuyển nhân viên
000000004378.jpg,cô gái đang đứng ở vị trí nào so với chàng trai ?,cô gái đang đứng phía sau chàng trai
000000007037.jpg,căn nhà bên cạnh cô gái được sơn màu gì là chủ đạo ?,màu vàng
000000000671.jpg,vì sao người ta cấm không cho sờ tủ này ?,vì tủ này có điện nguy hiểm chết người
000000003175.jpg,những chiếc xe máy đang đậu ở đâu ?,những chiếc xe máy đang đậu ở quán phương
000000005352.jpg,cô gái mặc áo đỏ đang mang vật dụng gì bên người ?,cô ấy mang cái túi xách bên người
000000001632.jpg,nhà hàng này tên gì ?,nhà hàng này tên mận nguyên
000000010209.jpg,ai đang vỗ tay ?,người đàn ông mặc quân phục màu xanh lá
000000004665.jpg,cô gái áo đen đang cầm con gì ?,cô gái áo đen đang cầm con bạch tuột
000000009101.jpg,tên của chợ là gì ?,chợ có tên là bến thành
000000003170.jpg,những người đứng trước quán xưa đang làm gì ?,đang đợi mua bún bò
000000010907.jpg,cửa tiệm này có trưng bày xe gì ?,cửa tiệm này có trưng bày xe xích lô
000000002910.jpg,hà nội nhỏ là cửa hàng gì ?,cửa hàng ăn uống
000000001485.jpg,số điện thoại của cửa hàng này là gì ?,số điện thoại của cửa hàng này là 0 975 672 209
000000005217.jpg,có bao nhiêu người ?,có bốn người
000000010610.jpg,giá của một cái nem cuốn là bao nhiêu ?,một cái nem cuốn có giá là 12 000 đồng
000000006230.jpg,phòng này đang trưng mấy chậu cây ?,phòng này đang trưng hai chậu cây
000000005171.jpg,chiếc mũ chàng trai đang đội có màu gì ?,chiếc mũ có màu trắng và dải băng màu đen
000000010208.jpg,người phụ nữ đeo túi hồng đang làm gì ?,đeo túi màu hồng
000000007037.jpg,cô gái đang cầm vật gì ở trên tay ?,một bó hoa
000000002505.jpg,tại đấu trường all - game đang diễn ra sự kiện gì ?,tại đấu trường all - game đang diễn ra sự kiện khai trương
000000005343.jpg,cây cột đèn có màu gì ?,màu đen
000000007510.jpg,hai người phụ nữ đang nhìn cái gì ?,nhìn vào snack
000000001769.jpg,chương trình tiết kiệm dự thưởng có chủ đề là gì ?,có chủ đề tết yêu thương
000000008189.jpg,ba người phụ nữ này ghé vào đây để mua gì ?,để mua khăn quàng cổ
000000002278.jpg,tấm bảng xanh dương ghi gì ?,ghi : xin vui lòng đừng vẽ lên trái cảm ơn ạ !
000000010031.jpg,bơ sáp loại 1 được bán với giá bao nhiêu ?,59 900 đồng một ký
000000006233.jpg,khu vực này bán những mặt hàng gì ?,bán các loại trái cây
000000009179.jpg,nội dung được in trên tấm thẻ là gì ?,price
000000004890.jpg,cảm xúc của cô gái đang như thế nào ?,cô gái đang cười
000000004236.jpg,có con gì đang đứng trước những cửa hàng đang đóng cửa ?,con chó
000000002864.jpg,số điện thoại của trường là bao nhiêu ?,0911145145
000000009364.jpg,một cân táo queen có giá như thế nào ?,một cân táo queen có giá là 79 900 đồng
000000004986.jpg,bạn nữ này đang làm gì ?,đang chọn mua bưu thiếp
000000001053.jpg,tấm biển có màu nền là màu gì ?,màu xanh dương
000000009627.jpg,có bao nhiêu người ngồi ngoài vỉa hè ?,có năm người
000000002194.jpg,người dân vùng đất nào xây tượng đài nhằm tưởng nhớ chiến thắng của mình ?,người dân quế sơn xây tượng đài nhằm tưởng nhớ chiến thắng của mình
000000001250.jpg,quán ăn có giá bao nhiêu ?,dao động từ 30 000 đến 50 000 ngàn
000000007413.jpg,có bao nhiêu chiếc xe cần cẩu ?,có một chiếc xe cần cẩu
000000009377.jpg,cửa tiệm ngọc hoa kinh doanh mặt hàng gì ?,các loại đèn lồng
000000004598.jpg,mọi người đang xem cái gì ?,xem áo dài
000000002050.jpg,đi thẳng sẽ tới đâu ?,đi thẳng sẽ tới chợ bến thành
000000002841.jpg,cửa hàng thời trang liên nằm ở số nhà bao nhiêu ?,số 66
000000001237.jpg,chúng ta đang ở đâu ?,ở huyện thanh sơn
000000006662.jpg,người phụ nữ đang cầm điện thoại chụp hình cho ai ?,cho một bé gái
000000009738.jpg,trên chiếc xích đu có đặt vật gì ?,trên chiếc xích đu là một cái nón
000000010190.jpg,chợ long biên thuộc địa phương nào ?,thuộc quận ba đình
000000009544.jpg,viện kinh tế và quản lý thủy lợi trực thuộc cơ quan nhà nước nào ?,bộ nông nghiệp và phát triển nông thôn
000000007511.jpg,đây là quầy gì ?,đây là quầy thịt
000000002611.jpg,bảng hiệu quán ghi gì ?,4 042
000000001229.jpg,cửa hàng này hoạt động trong khung giờ nào ?,cửa hàng này hoạt động 24 h
000000005354.jpg,người này đang phun khử khuẩn ở đâu ?,trong siêu thị
000000001510.jpg,bức tường có màu gì ?,màu trắng
000000002890.jpg,hình số 7 có nội dung gì ?,đưa sản phẩm lên tàu xuất khẩu
000000005215.jpg,những người phụ nữ này đang làm gì ?,đang đứng tập thể dục
000000005131.jpg,có mấy bình hoa trên bàn thờ ?,có hai bình hoa
000000010454.jpg,những chiến sĩ công an mang đồng phục màu gì ?,màu xanh lá
000000007188.jpg,món tráng miệng của cửa hàng là gì ?,món tráng miệng là kem xôi và sữa chua nếp than
000000001306.jpg,đơn vị nào sở hữu màn hình led p10 ngoài trời ?,công ty camera vantech sở hữu màn hình led p10 ngoài trời
000000006507.jpg,người đàn ông mặc áo đỏ đang đi đâu ?,đang đi đến một cửa hàng để mua đồ ăn
000000009604.jpg,cái bảng hiệu bia saigon trông ra sao ?,"bảng hiệu bia saigon có hình tròn , nền đỏ , chữ trắng và một con rồng màu vàng"
000000010046.jpg,quán lẩu phong nhã có nhận đặt những loại tiệc nào ?,quán lẩu phong nhã nhận đặt tiệc liên hoan và sinh nhật
